"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"27","Spliceosome","117/134",8.58778955095402e-10,9.46897803658882e-09,0,0,3.91910254384579,81.8132626020045,"TCERG1;EIF4A3;HNRNPU;EFTUD2;SNRPD2;SNRPD1;MAGOH;SNRPD3;TXNL4A;ISY1-RAB43;AQR;THOC2;WBP11;CRNKL1;CDC40;PRPF4;RBMXL1;PRPF6;DDX39B;PRPF3;SNRPG;SRSF2;SRSF3;SNRNP27;PPIE;SRSF4;PPIH;SNRPE;SNRPF;SRSF5;SRSF6;SNRPC;SNRNP200;SRSF7;SNRPA;SRSF8;SNRPB;SRSF9;DDX5;DHX8;RBM8A;SNU13;PRPF8;ZMAT2;PCBP1;HSPA8;PRPF38B;PRPF38A;ALYREF;HSPA6;HSPA2;LSM5;LSM4;LSM3;CHERP;LSM2;HNRNPM;LSM8;LSM7;HNRNPK;SNW1;HNRNPC;HNRNPA1L2;ISY1;RBM25;DDX46;DDX42;PRPF19;PQBP1;SART1;SNRNP70;DHX15;DHX16;CTNNBL1;BCAS2;NCBP1;NCBP2;PRPF40A;PLRG1;PRPF18;SYF2;SNRPA1;SLU7;RBM22;SF3B4;SF3B5;SF3B2;SF3B3;SF3B6;SRSF1;DDX23;U2AF1;U2AF1L4;PUF60;U2AF2;TRA2B;TRA2A;SNRPB2;HNRNPA1;SF3B1;SRSF10;SMNDC1;SF3A3;PPIL1;SF3A1;HNRNPA3;SF3A2;CDC5L;U2SURP;XAB2;SNRNP40;PHF5A;ACIN1;PRPF31;RBMX;HSPA1B;HSPA1A"
"28","Hepatitis B","139/163",8.91119298908485e-10,9.46897803658882e-09,0,0,3.30055331328479,68.7787214962482,"RB1;ATF2;ARAF;TNF;ELK1;TBK1;CREB3L1;MYC;AKT2;CREB3L2;AKT3;AKT1;EP300;MAP3K7;MAP2K3;MAP2K4;MAP2K1;MAP2K2;PRKCB;PRKCA;HSPG2;CCNE2;CCNE1;VDAC3;RAF1;TP53;IFNAR1;ATF4;PIK3R3;PIK3R2;PIK3R1;IRAK1;FADD;MAP2K7;MAP2K6;SMAD2;STAT5A;STAT5B;TGFB2;CREBBP;EGR2;SMAD4;JUN;TGFB1;SMAD3;EGR3;TGFB3;SLC10A1;NFATC3;NFATC2;BRAF;NFKB1;NFKBIA;MAVS;IL6;CDK2;BCL2;CYCS;TAB2;GRB2;TAB1;MYD88;CDKN1A;CXCL8;DDX3X;YWHAB;PIK3CD;FASLG;PIK3CB;CASP9;IFIH1;IKBKB;CASP8;YWHAQ;CASP10;CASP3;IKBKG;JAK2;HRAS;JAK3;IKBKE;JAK1;ATP6AP1;APAF1;CHUK;DDX58;IRAK4;TYK2;FOS;MMP9;YWHAZ;TIRAP;TGFBR1;TGFBR2;DDB2;CCNA2;DDB1;CCNA1;CREB1;PIK3CA;IRF3;TRAF3;TRAF6;BIRC5;SOS1;SOS2;TLR4;TLR3;CREB5;TLR2;PCNA;ATF6B;SRC;RELA;MAPK9;NRAS;MAPK8;E2F1;E2F2;PTK2B;MAPK1;STAT6;E2F3;BID;MAPK3;MAP3K1;BAD;STAT1;IFNB1;STAT2;STAT3;MAPK14;MAPK12;MAPK13;MAPK10;MAPK11;FAS;BAX;KRAS"
"29","Regulation of actin cytoskeleton","177/214",8.91559620328168e-10,9.46897803658882e-09,0,0,2.72946799792331,56.8767873508879,"CYFIP2;CHRM2;CYFIP1;NCKAP1;CHRM3;CHRM1;ITGA2B;ARPC5L;ARAF;FGF1;FGF2;ACTB;ARHGAP35;MYLK3;CRKL;MYLK;ACTG1;MYLK4;PPP1CB;FGF5;PPP1CC;FGF7;FGF9;CFL2;CFL1;PIP4K2A;PIP4K2B;PIP4K2C;PDGFRB;PDGFRA;MAP2K1;MAP2K2;ACTN1;F2R;ACTN4;MYL5;TIAM1;MYL2;SPATA13;PFN1;EZR;RAF1;MYL9;VCL;PFN2;PXN;PDGFB;LPAR1;LPAR2;PDGFA;PIK3R3;PIK3R2;PIK3R1;IQGAP1;IQGAP2;IQGAP3;MYL12A;MYL12B;SLC9A1;SCIN;RRAS;PDGFC;PIP5K1A;MYH14;NCKAP1L;PIP5K1B;PIP5K1C;MYH10;FGF23;FGF21;RDX;FN1;MSN;BRAF;ARPC4;ARPC5;GNG12;SSH2;SSH3;PTK2;SSH1;DIAPH1;DIAPH2;CXCL12;DIAPH3;ARPC2;ARPC3;ITGA10;FGF19;ITGA11;FGFR4;FGFR3;FGFR2;FGFR1;FGF10;ITGB1;ITGB5;ARPC1B;ITGB3;ARPC1A;BRK1;PIK3CD;WASL;PIK3CB;ITGAE;ITGAL;TMSB4X;RAC2;BDKRB2;ITGAX;RAC3;ITGB8;ITGAV;RAC1;HRAS;GIT1;VAV3;APC2;ARHGEF12;PPP1R12A;ITGA4;ITGA3;ITGA2;INSRR;ITGA1;RRAS2;F2;RHOA;VAV2;ENAH;MRAS;PIK3CA;ITGA8;MYH9;ITGA7;ARHGEF1;ITGA6;ITGA5;ARHGEF7;PPP1R12B;SOS1;PPP1R12C;SOS2;DOCK1;CRK;ARHGEF6;ITGA9;ROCK1;ROCK2;SRC;CXCR4;FGD1;EGFR;CDC42;GNA13;NRAS;PAK1;GNA12;PAK6;MAPK1;PAK3;WASF1;PAK2;WASF2;PAK5;PAK4;MAPK3;GSN;EGF;LIMK1;BAIAP2;PPP1CA;PIKFYVE;ABI2;APC;KRAS;BCAR1"
"30","Adherens junction","68/72",1.06893719343737e-09,1.09744218526237e-08,0,0,9.66058078224601,199.554762253557,"CTNND1;PTPRM;PTPRJ;WASL;PTPRF;ACTB;ACTG1;IGF1R;CDH1;RAC2;EP300;RAC3;RAC1;MAP3K7;ACP1;CSNK2A1;ACTN1;CSNK2A3;CSNK2A2;LMO7;ACTN4;RHOA;TGFBR1;TGFBR2;PARD3;MET;SSX2IP;VCL;SRC;LEF1;TCF7;IQGAP1;NLK;EGFR;CDC42;ERBB2;CTNNA1;MAPK1;CTNNA3;FYN;WASF1;WASF2;WASF3;MAPK3;FARP2;SMAD2;PTPN1;TCF7L2;CREBBP;SMAD4;YES1;SMAD3;INSR;SORBS1;BAIAP2;TJP1;AFDN;FER;PTPRB;SNAI1;SNAI2;CTNNB1;PTPN6;NECTIN4;NECTIN3;NECTIN2;FGFR1;NECTIN1"
"31","Prostate cancer","88/97",1.24665399190884e-09,1.23861106292878e-08,0,0,5.56131823476349,114.022610414481,"RB1;GSK3B;CDKN1A;CDKN1B;HSP90AB1;ARAF;PTEN;PIK3CD;PLAT;PIK3CB;IGF1R;CASP9;IKBKB;CCND1;PLAU;CREB3L1;AKT2;CREB3L2;AKT3;AKT1;EP300;IKBKG;HRAS;NKX3-1;PDGFRB;PDGFRA;MAP2K1;HSP90AA1;MAP2K2;CHUK;PDPK1;IL1R2;INSRR;MMP3;MMP9;ETV5;AR;CREB1;ZEB1;SPINT1;CCNE2;PIK3CA;CCNE1;RAF1;SOS1;TP53;SOS2;ATF4;CREB5;GSTP1;TCF7;LEF1;PDGFB;PDGFA;PIK3R3;TGFA;TMPRSS2;PIK3R2;PIK3R1;FOXO1;RELA;EGFR;HSP90B1;NRAS;PDGFC;ERBB2;E2F1;E2F2;MAPK1;E2F3;MAPK3;TCF7L2;CREBBP;EGF;BAD;BRAF;IGF1;NFKB1;MTOR;NFKBIA;CDK2;MDM2;BCL2;CTNNB1;GRB2;KRAS;FGFR2;FGFR1"
"32","Epstein-Barr virus infection","167/201",1.33429334234078e-09,1.284257342003e-08,0,0,2.8014355964467,57.2469554652661,"RB1;RBPJ;TNF;ICAM1;PSMD8;PSMD6;CCND3;PSMD7;TBK1;CCND2;PSMD4;CCND1;MYC;AKT2;PSMD2;AKT3;PSMD3;AKT1;PSMD1;SKP2;HLA-DOA;B2M;MAP3K7;HLA-DOB;PDIA3;MAP2K3;IFNAR2;MAP2K4;ENTPD1;USP7;HLA-B;TAP2;HLA-C;TAP1;HLA-A;HLA-F;RUNX3;HLA-G;HLA-E;CCNE2;CCNE1;BTK;TP53;IFNAR1;PSMD12;PSMD11;PSMD14;PSMD13;PIK3R3;PIK3R2;PIK3R1;BCL2L11;IRAK1;CD19;PLCG2;RIPK1;FADD;MAP2K7;HLA-DQA1;MAP2K6;LYN;HLA-DRB5;JUN;GADD45A;EIF2AK2;ISG15;NFKB1;NFKB2;SEM1;NFKBIA;CXCL10;MAVS;IL6;SNW1;CDK6;CDK4;CDK2;MDM2;BCL2;HLA-DRA;CYCS;TAB2;CALR;TAB1;NFKBIE;MAP3K14;HLA-DRB1;MYD88;NFKBIB;CDKN1A;CDKN1B;TRADD;TNFAIP3;PIK3CD;CD3G;PIK3CB;ITGAL;CD3D;IKBKB;CASP9;CASP8;SIN3A;CASP3;RAC1;IKBKG;POLK;JAK3;IKBKE;HLA-DPA1;JAK1;CR2;SYK;APAF1;CHUK;DDX58;TRAF2;TYK2;IRAK4;DDB2;TAPBP;NCOR2;CCNA2;CCNA1;OAS1;PIK3CA;IRF3;TRAF3;OAS2;TRAF6;OAS3;TRAF5;CD44;IRF9;TLR2;RBPJL;HDAC2;HDAC1;RELA;MAPK9;MAPK8;E2F1;E2F2;E2F3;HES1;CD58;BAK1;BID;STAT1;IFNB1;STAT2;STAT3;MAPK14;MAPK12;MAPK13;MAPK10;MAPK11;PSMC5;PSMC6;PSMC3;PSMC4;PSMC1;NEDD4;PSMC2;FAS;BAX;VIM;CD247"
"33","AGE-RAGE signaling pathway in diabetic complications","90/100",2.26584018330312e-09,2.11478417108291e-08,0,0,5.1190382341348,101.896095191772,"CXCL8;CDKN1B;SERPINE1;PIK3CD;PIK3CB;TNF;ICAM1;THBD;CCND1;AKT2;CASP3;AKT3;PIM1;AKT1;PLCE1;RAC1;JAK2;HRAS;EDN1;PRKCB;PRKCE;MMP2;PRKCD;CYBB;PRKCA;F3;TGFBR1;TGFBR2;IL1A;COL4A2;PIK3CA;COL4A1;COL4A4;IL1B;COL4A3;AGTR1;COL4A6;COL4A5;PLCB1;PIK3R3;PIK3R2;PIK3R1;PRKCZ;FOXO1;RELA;CDC42;MAPK9;NRAS;MAPK8;PLCG2;CCL2;MAPK1;PLCG1;MAPK3;SMAD2;STAT5A;STAT5B;EGR1;TGFB2;SMAD4;JUN;TGFB1;VCAM1;SMAD3;TGFB3;STAT1;NOS3;STAT3;FN1;VEGFB;VEGFC;MAPK14;SELE;NFKB1;MAPK12;MAPK13;VEGFA;COL1A1;MAPK10;DIAPH1;MAPK11;IL6;COL3A1;COL1A2;CDK4;BCL2;BAX;KRAS;PLCD3;PLCD1"
"34","Kaposi sarcoma-associated herpesvirus infection","155/186",3.3780819893591e-09,3.06014486094883e-08,0,0,2.85023771790808,55.5966164952378,"RB1;CD86;CALML6;CALML3;CALML4;FGF2;ICAM1;PREX1;ZFP36;TBK1;CCND1;MYC;AKT2;AKT3;AKT1;EP300;IFNAR2;MAP2K4;ATG3;GABARAPL2;GABARAPL1;MAP2K1;MAP2K2;HLA-B;HLA-C;HLA-A;ATG14;HLA-F;HLA-G;HLA-E;MAPKAPK2;IL6ST;RAF1;TP53;IFNAR1;PDGFB;ITPR1;ITPR2;PIK3R3;ITPR3;PIK3R2;PIK3R1;HIF1A;GABARAP;PIK3R6;PIK3R5;C3;PPP3R1;PPP3R2;UBB;PLCG2;PLCG1;FADD;MAP2K7;MAP2K6;LYN;CCR1;CREBBP;JUN;NFATC3;EIF2AK2;NFATC2;GNG12;GNG11;NFKB1;NFKBIA;RCAN1;IL6;CDK6;CDK4;GNB2;GNB1;GNB4;GNB3;CYCS;CALM3;GNB5;CALM1;CALM2;GSK3B;CDKN1A;CXCL8;TRADD;PIK3CD;PIK3CB;CXCL3;CXCL2;PIK3CG;CASP9;IKBKB;PPP3CA;PPP3CB;CASP8;PPP3CC;CASP3;RAC1;IKBKG;CCR5;JAK2;CCR4;HRAS;IKBKE;JAK1;SYK;CHUK;IFNGR1;TRAF2;TYK2;FOS;TNFRSF1A;CD200R1;CREB1;PIK3CA;IRF3;TRAF3;PIK3C3;IRF9;TLR3;BECN1;SRC;PTGS2;RELA;MAPK9;NRAS;GNG3;MAPK8;GNG2;GNG5;GNG4;GNG7;E2F1;GNG8;E2F2;MAPK1;E2F3;BAK1;BID;MICA;MICB;MAPK3;STAT1;IFNB1;STAT2;STAT3;MAPK14;MAPK12;MTOR;MAPK13;VEGFA;MAPK10;MAPK11;FAS;BAX;CTNNB1;KRAS"
"35","Small cell lung cancer","84/93",5.12974367104521e-09,4.51417443051978e-08,0,0,5.30685787828645,101.298418393936,"RB1;ITGB1;CDKN1A;CDKN1B;LAMC3;ITGA2B;PTEN;PIK3CD;LAMC2;PIK3CB;LAMC1;CKS1B;CASP9;IKBKB;CCND1;MYC;AKT2;CASP3;AKT3;AKT1;ITGAV;POLK;IKBKG;SKP2;APAF1;CHUK;ITGA3;ITGA2;TRAF2;TRAF1;DDB2;PIK3CA;TRAF4;CCNE2;COL4A2;TRAF3;COL4A1;CCNE1;COL4A4;TRAF6;COL4A3;TRAF5;COL4A6;CKS2;RARB;COL4A5;ITGA6;TP53;BIRC2;BIRC3;LAMA5;LAMA2;MAX;LAMA4;PIK3R3;XIAP;PIK3R2;PIK3R1;PTGS2;FHIT;RELA;RXRB;RXRA;E2F1;E2F2;E2F3;BAK1;ZBTB17;CDKN2B;NOS2;LAMB2;GADD45A;FN1;LAMB1;NFKB1;PTK2;NFKBIA;CDK6;CDK4;CDK2;BCL2;BAX;CYCS;BCL2L1"
"36","Sphingolipid signaling pathway","104/119",6.67325257948446e-09,5.70933831800337e-08,0,0,3.94517665009339,74.2685755622041,"PPP2R2A;TNF;PPP2R1B;PPP2R1A;ADORA3;AKT2;AKT3;AKT1;MAP3K5;MAP2K1;MAP2K2;PRKCB;PRKCE;PRKCA;RAF1;TP53;NSMAF;PIK3R3;PIK3R2;PIK3R1;PLD1;PRKCZ;PLD2;SGPL1;NFKB1;ACER2;GNAQ;BCL2;DEGS1;TRADD;PTEN;PIK3CD;PIK3CB;SMPD2;SPTLC1;SPTLC2;PPP2R5E;SPTLC3;SMPD1;BDKRB2;RAC2;RAC3;RAC1;CTSD;HRAS;CERS4;CERS5;ABCC1;CERS6;PDPK1;SPHK1;PPP2R5B;PPP2R5A;TRAF2;PPP2R5D;GAB2;PPP2R5C;RHOA;TNFRSF1A;PIK3CA;PLCB1;CERS1;CERS2;OPRD1;ASAH1;ASAH2;ROCK1;SGMS1;ROCK2;GNAI3;SGMS2;RELA;GNAI1;GNAI2;PPP2CA;GNA13;PPP2CB;MAPK9;NRAS;MAPK8;PPP2R3C;GNA12;S1PR1;MAPK1;S1PR3;FYN;S1PR2;BID;MAPK3;NOS3;PPP2R3B;PPP2R3A;MAPK14;SGPP2;MAPK12;SGPP1;MAPK13;MAPK10;MAPK11;PPP2R2C;PPP2R2B;PPP2R2D;BAX;KRAS"
"37","Fluid shear stress and atherosclerosis","118/139",2.91250155328335e-08,2.36065915371388e-07,0,0,3.19820013017453,55.4941081092226,"NCF1;CALML6;ITGA2B;KEAP1;CALML3;PLAT;CALML4;TNF;ACTB;TXN2;ACTG1;ICAM1;CDH5;NPPC;AKT2;AKT3;KDR;AKT1;MAP3K7;MAP3K5;ACVR1;PIAS4;MEF2A;MAP2K4;MEF2C;IL1R1;IL1R2;CYBA;SQSTM1;TP53;SDC4;SDC2;MGST3;PDGFB;MGST1;MGST2;PDGFA;PIK3R3;PIK3R2;PIK3R1;PRKCZ;HSP90B1;HMOX1;MAP2K7;MAP2K5;MAP2K6;JUN;VCAM1;CAV2;CAV1;SELE;NFKB1;PTK2;BMP4;TRPV4;BCL2;SDC1;CALM3;CALM1;BMPR1B;CALM2;GSTM5;NFE2L2;BMPR1A;BMPR2;HSP90AB1;ITGB3;PIK3CD;PIK3CB;IKBKB;THBD;SUMO1;CTSL;SUMO3;SUMO2;RAC2;RAC3;ITGAV;RAC1;IKBKG;EDN1;HSP90AA1;CHUK;GSTO2;DUSP1;GSTO1;MMP2;FOS;MMP9;RHOA;TNFRSF1A;IL1A;PIK3CA;IL1B;ARHGEF2;PRKAA1;PRKAA2;SRC;GSTP1;RELA;MAPK9;MAPK8;MAPK7;GPC1;CCL2;NQO1;NOS3;MAPK14;ACVR2B;ASS1;MAPK12;ACVR2A;KLF2;MAPK13;VEGFA;MAPK10;MAPK11;CTNNB1"
"38","Signaling pathways regulating pluripotency of stem cells","118/139",2.91250155328335e-08,2.36065915371388e-07,0,0,3.19820013017453,55.4941081092226,"RIF1;FZD10;FGF2;IGF1R;SOX2;MYC;AKT2;AKT3;AKT1;SMARCAD1;ACVR1;MAP2K1;MAP2K2;WNT5A;LIFR;HNF1A;KAT6A;COMMD3-BMI1;IL6ST;RAF1;PIK3R3;PIK3R2;PIK3R1;POU5F1B;DVL1;DVL2;DVL3;OTX1;WNT1;SKIL;WNT2;WNT4;FZD1;SMAD2;SMAD1;WNT10A;FZD3;SMAD4;ZFHX3;SMAD3;FZD2;FZD5;SETDB1;FZD4;WNT3A;FZD7;FZD6;FZD9;LIF;SMAD9;INHBB;INHBA;IGF1;SMAD5;BMP4;ID2;ID1;ID4;ID3;LHX5;NANOG;GRB2;TCF3;FGFR4;BMPR1B;FGFR3;NODAL;FGFR2;FGFR1;BMPR1A;GSK3B;WNT2B;BMPR2;ONECUT1;PIK3CD;PIK3CB;BMI1;JARID2;JAK2;HRAS;JAK3;JAK1;APC2;AXIN1;WNT9B;PAX6;AXIN2;WNT9A;WNT16;DUSP9;PIK3CA;HAND1;WNT8B;ACVR1B;NRAS;WNT11;MAPK1;LEFTY2;MAPK3;PCGF5;WNT7B;PCGF2;PCGF3;STAT3;WNT7A;MAPK14;KLF4;ACVR2B;MAPK12;ACVR2A;TBX3;MAPK13;MAPK11;MEIS1;REST;APC;CTNNB1;KRAS"
"39","Non-alcoholic fatty liver disease (NAFLD)","125/149",4.98862570762067e-08,3.93973517422351e-07,0,0,2.96483860342556,49.8493739898192,"NDUFA13;NDUFA11;IRS1;NDUFA12;NDUFA10;IRS2;COX6A1;TNF;NDUFC2-KCTD14;AKT2;AKT3;LEPR;AKT1;IL6R;MAP3K5;PRKAB2;ADIPOQ;SDHC;SDHD;SDHA;COX6B2;PRKAB1;COX6B1;ERN1;COX7A2L;DDIT3;UQCRC1;ATF4;UQCRB;NDUFB11;PIK3R3;COX7A2;PIK3R2;PIK3R1;ADIPOR1;ADIPOR2;UQCRH;SOCS3;BCL2L11;NDUFV3;CYC1;NDUFV2;NDUFV1;XBP1;JUN;TGFB1;INSR;EIF2AK3;EIF2S1;NFKB1;MLXIPL;IL6;UQCRQ;CYCS;MAP3K11;GSK3B;GSK3A;COX7B;CXCL8;COX4I1;PRKAG1;PIK3CD;FASLG;PIK3CB;COX7C;IKBKB;CASP7;CASP8;CASP3;MLX;UQCRFS1;RAC1;COX8A;SREBF1;NDUFC2;TRAF2;NDUFC1;TNFRSF1A;IL1A;NDUFS8;PIK3CA;NDUFS7;NDUFS6;IL1B;NDUFS5;NDUFS3;NDUFS2;NDUFS1;PPARA;NDUFB9;CEBPA;PRKAA1;NDUFB8;PRKAA2;NDUFB6;NDUFB5;NDUFB4;UQCR11;UQCR10;COX5B;COX5A;RELA;CDC42;MAPK9;MAPK8;RXRA;BID;MLXIP;NDUFA8;NDUFA7;NDUFA6;PKLR;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;NR1H3;COX6C;MAPK10;ITCH;LEP;NDUFAB1;FAS;BAX"
"40","AMPK signaling pathway","103/120",6.62398866637933e-08,5.10047127311208e-07,0,0,3.44633838383838,56.9679150275892,"CRTC2;IRS1;IRS4;IRS2;PPP2R2A;IGF1R;LIPE;STK11;CCND1;PPP2R1B;PPP2R1A;CREB3L1;AKT2;CREB3L2;AKT3;LEPR;AKT1;MLYCD;MAP3K7;RAB2A;PRKAB2;CPT1A;G6PC;ADIPOQ;TSC1;CPT1C;PRKAB1;CPT1B;ULK1;PFKFB2;PFKFB4;PFKFB3;PIK3R3;PIK3R2;PIK3R1;FOXO3;ADIPOR1;ADIPOR2;ACACB;FOXO1;ACACA;EIF4EBP1;PCK1;PPARGC1A;INSR;IGF1;EEF2;G6PC3;RHEB;FASN;PRKAG1;PIK3CD;SLC2A4;PIK3CB;ELAVL1;RPTOR;GYS1;EEF2K;PPP2R5E;HNF4A;CD36;RAB8A;SREBF1;STRADA;PDPK1;STRADB;PPP2R5B;PPP2R5A;PPP2R5D;PPP2R5C;SIRT1;CCNA2;CCNA1;CREB1;PIK3CA;AKT1S1;PPARG;CREB5;PRKAA1;PRKAA2;CAB39;HMGCR;CAMKK2;PPP2CA;PPP2CB;PPP2R3C;SCD5;PPP2R3B;PPP2R3A;MTOR;RAB11B;RAB10;PFKL;RPS6KB1;PPP2R2C;RAB14;SCD;PPP2R2B;LEP;PPP2R2D;RPS6KB2;PFKM;PFKP"
"41","Non-small cell lung cancer","61/66",8.18930188421175e-08,6.15196336667614e-07,0,0,6.92811074406166,113.051886382961,"RB1;CDKN1A;ARAF;PIK3CD;PIK3CB;CASP9;RASSF1;CCND1;AKT2;RASSF5;AKT3;AKT1;POLK;HRAS;JAK3;MAP2K1;MAP2K2;PDPK1;PRKCB;PRKCA;DDB2;EML4;PIK3CA;RARB;RAF1;SOS1;SOS2;TP53;PIK3R3;TGFA;PIK3R2;PIK3R1;FOXO3;STK4;FHIT;EGFR;RXRB;NRAS;RXRA;ERBB2;E2F1;PLCG2;E2F2;MAPK1;E2F3;PLCG1;BAK1;MAPK3;STAT5A;STAT5B;EGF;BAD;CDKN2A;GADD45A;STAT3;BRAF;CDK6;CDK4;BAX;KRAS;GRB2"
"42","Breast cancer","123/147",8.70036911875446e-08,6.3802706870866e-07,0,0,2.91694000948467,47.421613421309,"RB1;ARAF;FZD10;FGF1;FGF2;IGF1R;FGF5;FGF7;FRAT2;CCND1;FGF9;MYC;AKT2;AKT3;AKT1;MAP2K1;MAP2K2;WNT5A;PGR;RAF1;TP53;NOTCH2;SHC4;NOTCH3;NOTCH1;SHC3;SHC1;TCF7;PIK3R3;PIK3R2;PIK3R1;DVL1;DVL2;DVL3;WNT1;FGF23;WNT2;FGF21;WNT4;FZD1;JAG2;WNT10A;FZD3;JUN;FZD2;JAG1;FZD5;FZD4;WNT3A;GADD45A;FZD7;FZD6;FZD9;BRAF;IGF1;ESR1;ESR2;NFKB2;CDK6;SP1;CDK4;FGF19;GRB2;FGFR1;FGF10;GSK3B;CDKN1A;WNT2B;FLT4;PTEN;PIK3CD;PIK3CB;BRCA1;BRCA2;HEY1;HEY2;POLK;HRAS;NCOA1;APC2;NCOA3;AXIN1;WNT9B;AXIN2;WNT9A;FOS;WNT16;DDB2;PIK3CA;KIT;SOS1;SOS2;LEF1;LRP5;WNT8B;DLL1;EGFR;LRP6;DLL3;DLL4;NRAS;WNT11;ERBB2;E2F1;E2F2;MAPK1;E2F3;HES1;BAK1;MAPK3;TCF7L2;EGF;CSNK1A1;WNT7B;WNT7A;MTOR;HEYL;APC;RPS6KB1;RPS6KB2;BAX;CTNNB1;KRAS"
"43","Longevity regulating pathway","89/102",9.86286619487911e-08,7.06456462330876e-07,0,0,3.89204331849768,62.7860688993466,"ATF2;CLPB;IRS1;EHMT2;IRS4;PRKAG1;EHMT1;PIK3CD;IRS2;PIK3CB;IGF1R;RPTOR;STK11;SESN3;CREB3L1;AKT2;SESN1;RB1CC1;CREB3L2;AKT3;SESN2;AKT1;PRKACA;PRKACB;HRAS;APPL1;PRKAB2;ADIPOQ;TSC1;PRKAB1;ATG13;SIRT1;ADCY9;CREB1;PIK3CA;AKT1S1;CAT;ULK1;PPARG;EIF4E2;TP53;ATF4;CREB5;PRKAA1;HDAC2;PRKAA2;ATF6B;HDAC1;PIK3R3;ADCY3;PIK3R2;ADCY2;PIK3R1;ADCY1;FOXO3;ADIPOR1;ADIPOR2;ADCY7;FOXO1;RELA;ADCY6;ADCY5;CAMKK2;NRAS;ATG101;EIF4EBP1;EIF4EBP2;PPARGC1A;EIF4E;ATG5;KL;HSPA8;INSR;HSPA6;IGF1;HSPA2;SOD2;NFKB1;MTOR;SOD1;RPS6KB1;RHEB;CAMK4;RPS6KB2;BAX;KRAS;HSPA1B;HSPA1A;FOXA2"
"44","Glioma","68/75",1.06859271311112e-07,7.48014899177787e-07,0,0,5.51803842651407,88.5741903609907,"RB1;CDKN1A;CALML6;ARAF;PTEN;PIK3CD;CALML3;PIK3CB;CALML4;IGF1R;CCND1;AKT2;AKT3;AKT1;POLK;HRAS;PDGFRB;PDGFRA;MAP2K1;CAMK1D;MAP2K2;PRKCB;PRKCA;DDB2;PIK3CA;RAF1;SOS1;SOS2;TP53;CAMK1G;SHC4;CAMK2D;SHC3;SHC1;CAMK2A;PDGFB;PIK3R3;TGFA;PDGFA;PIK3R2;PIK3R1;EGFR;NRAS;E2F1;PLCG2;E2F2;MAPK1;E2F3;PLCG1;BAK1;CAMK2G;MAPK3;EGF;CDKN2A;GADD45A;BRAF;IGF1;MTOR;CDK6;CDK4;CAMK4;MDM2;BAX;CALM3;KRAS;GRB2;CALM1;CALM2"
"45","Measles","116/138",1.20803553497398e-07,8.26833210604412e-07,0,0,3.00019389726318,47.7903890154486,"CBLB;CCND3;CCND2;TBK1;CCND1;AKT2;AKT3;AKT1;IL12B;MAP3K7;IFNAR2;CSNK2A1;CSNK2A3;CSNK2A2;CCNE2;CCNE1;TP53;IFNAR1;PIK3R3;PIK3R2;PIK3R1;IRAK1;FADD;SLAMF1;STAT5A;STAT5B;HSPA8;JUN;EIF2AK1;HSPA6;EIF2AK3;MSN;EIF2AK2;EIF2AK4;HSPA2;EIF2S1;NFKB1;NFKBIA;MAVS;IL6;CDK6;CD209;CDK4;CDK2;CD28;BCL2;CYCS;TAB2;MYD88;TP73;BCL2L1;NFKBIB;GSK3B;CDKN1B;TRADD;TNFAIP3;PIK3CD;FASLG;CD3G;ADAR;PIK3CB;CD3D;BBC3;CASP9;IFIH1;IKBKB;CASP8;CASP3;RACK1;IKBKG;JAK3;IKBKE;JAK1;APAF1;CHUK;DDX58;IRAK4;TYK2;FOS;IL1A;OAS1;PIK3CA;IRF3;TRAF3;OAS2;TRAF6;IL1B;OAS3;TLR7;CD46;TLR4;IRF9;TLR2;IL2RG;RCHY1;RELA;MAPK9;MAPK8;BAK1;BID;BAD;STAT1;IFNB1;STAT2;MX1;STAT3;MAPK10;IL2RA;IL2RB;FAS;BAX;EIF3H;RAB9A;HSPA1B;RAB9B;HSPA1A"
